,Review,sentiment
201,"I had a fried fish taco ($4.95) and tortilla chips ($3.75) here and they were delicious.  I was with my husband and a group of friends, so I think among all of us we tried every single taco they offer.  Note that they only have 1 vegetarian option (and no vegan options on the menu, although you may be able to make a special request).  Luckily the vegetarian option is vegetables wrapped in crispy cheese, and the one vegetarian in our group loves cheese, lol.  

The fish in my taco was crispy on the outside and soft and flaky on the inside.  It was battered and fried, but didn't taste overly greasy.  The fish was on top of shredded cabbage, and a green creamy sauce was drizzled on top.  

Chips were crispy and didn't taste like they came out of a bag. I liked the creamy avocado dipping sauce they came with, but would have appreciated a more mainstream salsa as well, lol (you know, like the one with cut up tomatoes). 

Can't wait to try their other tacos.

This location is in The Annex Food Hall.",2
718,"Unfortunately they did not let us make reservations probably because of the small size of the restaurant. 

I had a really uncomfortable time at this restaurant... let me tell you why...

The seating arrangement of the tables was very poor. 

We were seated on the second floor at a small table. There was another table, located one foot away from us, between us and the wall/window. Directly behind my friends seat was another table, so when she sat down, her chair was almost touching this other table. Directly behind my chair was someone else's chair. We were squished!!

When I sat down my chair was back to back with their chair. There was no room for the people in the table at the window to get out and for the servers to get over to them, so my friend and I had to stand up and tuck our chair in to let them through. When another couple came and sat there, I also had to stand up again and push my chair in to let them through. This was incredibly uncomfortable. 

A restaurant is supposed to be a relaxing place, especially when you are spending hard working money. I shouldn't be standing up and needing to let people through time and time again.

When serving the table behind me, the server had to squeeze behind my chair and stand right against the back and the side of my chair. It was not a relaxing dining experience at all! Service was okay at best, when they weren't getting me to stand up or squish us.

I ordered the malfalde ai fungi, it tasted delicious for the first few bites but the cream was so rich it was difficult to finish and I felt a little nauseous at the end. 

I expected much better!",0
349,"Went here for ayce tacos Thursdays ($19.95), only available until end of November I believe 

Food (4/5): very good tacos that were way better than I expected for ayce. They were proper really good restaurant quality tacos! I love that they used corn tortillas and were generous with the filling! I tried all taco flavors and recommend the tinga de pollo, chorizo, barbacua and carnitas 

Price (5/5): ayce tacos at this price point is a STEAL. 

Service (3/5): the waiter deserves 5/5, he was super attentive and pleasant throughout the course of our meal. However we waited 45 min to an hour for our first tacos to come out from the kitchen. Tacos came out at a reasonable pace after that but the initial wait was painful.

Ambiance (3.5/5): very clean, cozy spot in Trinity bellwoods. The mural on the wall was a nice touch",2
137,This place serves some really great tacos! Service is very quick as we got our food in a couple of minutes. We were seated at the bar and were able to see everything being made fresh. Everything was delicious and my favourite is the Pescado!,2
204,The tacos took forever to make but they were delicious! Fresh off the grill and straight into our bellies real quick. I especially enjoyed the baja fish taco - it had just the right amount of crispiness and was not too salty like other baha fish tacos that I've tried. It was just right. What I really appreciated was that the chef personally delivered us our food. Now that's above and beyond! Would be down for coming back again.,2
1635,"One cold winter afternoon... hungry... cold... wandering mindlessly downtown, I stumbled upon Zhang's Kitchen tucked in the southern side of Elm Street. 

The restaurant itself is not big and I arrived late afternoon. An eerie quietness besets the restaurant. After settling down they started putting on some mandarin pop songs and handed over water and the paper menu.  Service was courteous and efficient. 

Menu wise is extremely limited here, they specialize in yellow braised dishes.  I chose yellow braised chicken with thick noodles; a fine choice for a frigid day. The sauce that was reduced and used to braised the chicken was excellent. The simple flavours created by the cooking wine, ginger, scallion, leek, and other ingredients was delicious and would warm any stomach or heart.  The chicken was equally done well. The chicken was fall off the bones texture (even though their chicken was bone-less) without giving any feeling of it being overcooked. 

What prompted a less than four star when everything sounded great? A few things... first the noodles lacked texture. They were pretty limp and felt like overcooked store bought versions. The mushroom that was added to the dish were the wet variety and the flavour of the mushroom failed to transfer to the sauce. They also added strings of green pepper on top of the dish for aesthetic purposes. This may be a personal thing but I hate when green peppers become fully cooked (while not having been grilled). 

Overall score for Zhang's Kitchen is a solid 3.4. Unless they work on their noodles, you may want to stick with rice.",1
579,"I rarely ever review restaurants but this was extraordinarily mediocre. Fish stunk, guacamole was too hot (no flavour, just heat) and the service was slow. Don't bother",0
1792,"Inauthentic and bland. Red flags: No classic numbing spice flavor. Missed the spot on 2 signature dishes so I won't be coming back. 

The cold noodles appetizer was had noodles that were thick and tasted like spaghetti and old lard. No complimentary contents either--you can usually expect some sesame oil or thinly chopped black fungus or something but this was a low effort fail completely. 

The ""mouth watering chicken"" which is a cold chicken dish was sitting in a pool of chili oil and soy sauce (which is normal) but completely lacked flavor and spice--it should carry the sweet flavor of cooking wine, the saltiness of soy sauce and have the savory ""ma la"" numbing spice that makes your lips and tongue tingle. The only thing resembling the classic dish was the fact that the chicken was rather bony and gristly. I had to ask for more hua jiao (si chuan pepper) oil to make it edible 

I'm horribly disappointed and the two dishes cost me $14. It's overpriced at this rate. The decor is austere but rundown (fake wooden footbridge leading into banquet style restaurant that looks tatty) and I guess the fact it was empty on a Friday evening at 9 was highly suspect. Please just go to Si Chuan house cuisine if you're looking for anything nearly close to spicy",0
1796,"Sweet and sour soup was good. Dumplings were good.  Our meals were bleh. Had Tsao chicken, which looked very nice but was more deep fried pieces than chunks of chicken.  My spouse had chicken with ginger and scallions which he enjoyed. A friend had some beef dish that was indescribable.",0
365,"Love all of the hidden gems in Kensington Market, and La Chilaca Taqueria is no exception - it's awesome.

Super tiny spot, located in the middle of the building, which houses other niche food stalls.

In terms of eating in, there are community folding tables and chairs at the back of the space, super rustic vibes but you don't come here for the Instagram photo opps if you know what I mean.

The service was friendly and quick, we were able to place our orders quickly.

Tacos were absolutely delicious - I can't recall the exact ones we tried but they were amazing. Super flavourful, tender, and just really tasty.

Make sure you ask for a side of their green salsa on the side, its sooooo good. We ended up taking the bit we had leftover and used them on fried eggs for breakfast the next morning - omg hot sauce heaven. 

If anyone from La Chilaca Taqueria reads this, please consider making batches of your hot sauce to sell, it's addictive!",2
